Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.79601287841797,72.85660552982391,71.54537966581154,71.79986584309097,135480400
2020-01-03,72.08827209472656,72.85173786044717,71.86286925470127,72.020408635475,146322800
2020-01-06,72.66270446777344,72.7014846521864,70.95399466003437,71.20606216043667,118387200
2020-01-07,72.32097625732422,72.9293215125039,72.10041809515171,72.67240923493256,108872000
2020-01-08,73.48435974121094,73.78732306103302,72.02286498225183,72.02286498225183,132079200
2020-01-09,75.04521942138672,75.2391129669444,74.21388993487531,74.46595006478736,170108400
2020-01-10,75.21485900878906,75.78201267626062,74.71073145572483,75.28030379933901,140644800
2020-01-13,76.82177734375,76.84844195389402,75.4136048587464,75.53237147319368,121532000
2020-01-14,75.78445434570312,76.96965039455488,75.66085034178165,76.758789108947,161954400
2020-01-15,75.45968627929688,76.4679491910842,75.02584069303794,75.58329769243402,121923600
2020-01-16,76.40492248535156,76.51641831155123,75.64145640571084,76.00501238616502,108829200
2020-01-17,77.25079345703125,77.253212133664,76.34674834560415,76.65455638252,137816400
2020-01-21,76.72727966308594,77.32108332706851,76.58912661521823,76.87754828501977,110843200
2020-01-22,77.00114440917969,77.55616777084843,76.90661632258188,77.21442432913649,101832400
2020-01-23,77.37197875976562,77.45195781305532,76.5042877636116,77.05447382667461,104472000
2020-01-24,77.14900207519531,78.3657000922343,76.95752718801279,77.61920173441393,146537600
2020-01-27,74.88040161132812,75.56388109821151,73.89395147066809,75.14942943338237,161940000
2020-01-28,76.99871826171875,77.1707993206053,75.66567993131815,75.76505276717205,162234000
2020-01-29,78.61050415039062,79.46122758988011,77.89308902061387,78.63716877095959,216229200
2020-01-30,78.49658203125,78.5499038706555,77.25564547406604,77.68949101302144,126743200
2020-01-31,75.01612091064453,78.20813732112357,74.72042850588934,77.78398880426934,199588400
2020-02-03,74.81012725830078,75.98077426743717,73.24925964840867,73.75338735630919,173788400
2020-02-04,77.2798843383789,77.47135922565889,76.01470923140033,76.42189015405506,136616400
2020-02-05,77.9100341796875,78.71228029302294,77.30410766529131,78.41173571221898,118826800
2020-02-06,78.82135009765625,78.82377617084421,77.62161992339047,78.18149548402742,105425600
2020-02-07,77.74995422363281,78.568680490216,77.25677448183865,78.31844658012572,117684000
2020-02-10,78.11923217773438,78.11923217773438,76.24855365122801,76.32872251651483,109348800
2020-02-11,77.6479263305664,78.69016619390229,77.4292765293241,78.61728539819471,94323200
2020-02-12,79.49188995361328,79.49674620182785,78.09980747878139,78.09980747878139,113730400
2020-02-13,78.92581939697266,79.25379778682812,78.55654436332367,78.76061799356015,94747600
2020-02-14,78.94524383544922,79.1954777229002,78.43505615220535,78.89421987724242,80113600
2020-02-18,77.49972534179688,77.68193472739671,76.4331895126421,76.61539889824193,152531200
2020-02-19,78.62213897705078,78.8529405124876,77.74267613948199,77.74267613948199,93984000
2020-02-20,77.81555938720703,78.87237540713653,77.3078034073495,78.38162741760964,100566000
2020-02-21,76.05419921875,77.85200453086176,75.43469023560293,77.40740945099631,129554000
2020-02-24,72.44158172607422,73.89925662389693,70.2672211186261,72.21807572698077,222195200
2020-02-25,69.98783874511719,73.49840932047712,69.51409877566901,73.11455813124694,230673600
2020-02-26,71.09808349609375,72.36869263857325,69.60396838018032,69.611256457268,198054800
2020-02-27,66.4505615234375,69.48252909864357,66.31451240924113,68.29209564236507,320605600
2020-02-28,66.41166687011719,67.6385477294233,62.28401969410227,62.5002450361747,426510000
2020-03-02,72.59465026855469,73.23359905284,67.47092308130068,68.57875558588971,341397200
2020-03-03,70.28907775878906,73.85552017744328,69.43390383275212,73.77535132893588,319475600
2020-03-04,73.54940795898438,73.70975307414847,71.21470241659885,72.01885240878119,219178400
2020-03-05,71.16368865966797,72.77441312341486,70.79683812058555,71.7953418231212,187572800
2020-03-06,70.21864318847656,70.65351836354851,68.32366840377551,68.5107340510731,226176800
2020-03-09,64.6648941040039,67.56080421303677,63.8947525693777,64.0769619398227,286744800
2020-03-10,69.32215118408203,69.58939303727469,65.44230660133874,67.3300001443454,285290000
2020-03-11,66.91458129882812,68.32124000631373,66.04726273626676,67.39076055716758,255598800
2020-03-12,60.30644989013672,65.595382309111,60.25057338022047,62.179564104958686,418474000
2020-03-13,67.53168487548828,68.0054324356217,61.45317627135421,64.35395516546636,370732000
2020-03-16,58.84391403198242,62.942405493904495,58.30700208996455,58.78074574053364,322423600
2020-03-17,61.4312744140625,62.585263243436856,57.918276556257396,60.131512916519725,324056000
2020-03-18,59.92744827270508,60.736458342676634,57.60731482260299,58.25112350527089,300233600
2020-03-19,59.46828842163086,61.42643149656511,58.941096340460845,60.10237727632101,271857200
2020-03-20,55.69289779663086,61.181042654095215,55.391643663219554,60.0513424340969,401693200
2020-03-23,54.5097541809082,55.51312163568075,51.65271258137682,55.41108483288239,336752800
2020-03-24,59.97846984863281,60.17525538486383,56.92221075272987,57.422678587356735,287531200
2020-03-25,59.648067474365234,62.74076717659394,59.35167323412014,60.918673260526354,303602000
2020-03-26,62.78691864013672,62.84522326472186,59.85213267444205,59.89100489553818,252087200
2020-03-27,60.187400817871094,62.162547880502984,60.01976760326953,61.40455808271416,204216800
2020-03-30,61.905025482177734,62.07751865016797,60.59068767059111,60.91623789559668,167976400
2020-03-31,61.7786979675293,63.77085317683828,61.2223536075195,62.09696014187927,197002000
2020-04-01,58.5280876159668,60.425494176264635,58.09564428473378,59.886154074244196,176218400
2020-04-02,59.504722595214844,59.55817097638504,57.55386780368069,58.38960208336811,165934000
2020-04-03,58.649559020996094,59.691795094969585,58.056770548986755,58.98725360699361,129880000
2020-04-06,63.765995025634766,63.92147650814731,60.58583486452881,60.95510987284994,201820400
2020-04-07,63.027442932128906,66.00839339127049,62.92297799130032,65.78973618510182,202887200
2020-04-08,64.6406021118164,64.95642874150907,63.464745123474984,63.83158830415397,168895200
2020-04-09,65.10704040527344,65.6123718043816,64.30775408800689,65.27953725570406,161834800
2020-04-13,66.38495635986328,66.49428496270015,64.58229481333173,65.18480321625717,131022800
2020-04-14,69.73759460449219,70.02913255388498,67.55108222640038,68.02482954063414,194994800
2020-04-15,69.10111236572266,69.56270817177682,68.17792075361436,68.60793240101208,131154400
2020-04-16,69.65015411376953,70.01700476078703,68.59576989662524,69.81778736213384,157125200
2020-04-17,68.70509338378906,69.7133247388834,67.26199423225898,69.1642646656941,215250000
2020-04-20,67.27899169921875,68.43298447365049,67.25955929365115,67.52680120844859,130015200
2020-04-21,65.19937133789062,67.35673149875346,64.48511000316932,67.12107374662952,180991600
2020-04-22,67.07735443115234,67.51465402003916,66.12986704581802,66.4724141891117,116862400
2020-04-23,66.81739807128906,68.44999451020912,66.77852584487202,67.02147169938918,124814400
2020-04-24,68.74638366699219,68.75610357640764,67.29599672618441,67.34458885914316,126161200
2020-04-27,68.79496765136719,69.12780222176741,68.01268185374983,68.46212566684929,117087600
2020-04-28,67.67985534667969,69.44121285588518,67.58754214647125,69.25900345838117,112004800
2020-04-29,69.9028091430664,70.37412466532922,68.9698980080844,69.17397162378809,137280800
2020-04-30,71.37748718261719,71.55484032075456,70.05343675937974,70.4445760159148,183064000
2020-05-01,70.2283706665039,72.64082159078217,69.44608459896145,69.54326147278059,240616800
2020-05-04,71.22200775146484,71.35076875806811,69.5602589927265,70.25265616239726,133568000
2020-05-05,72.29096984863281,73.12670420409486,71.53783619626512,71.68360519577489,147751200
2020-05-06,73.03681945800781,73.67090463185605,72.60923234624765,72.99551539711837,142333600
2020-05-07,73.79237365722656,74.13979187417405,73.36236215111808,73.66604447823067,115215200
2020-05-08,75.54875183105469,75.60234489642646,74.12610833613621,74.4549745357271,133838400
2020-05-11,76.7375259399414,77.23447163035509,74.84472235640838,75.05422519130572,145946400
2020-05-12,75.86058044433594,77.87761748903343,75.7387786724721,77.42451103192107,162301200
2020-05-13,74.94462585449219,76.96653965007208,73.86302556726389,76.04084175904602,200622400
2020-05-14,75.40502166748047,75.46592253617749,73.45375545548762,74.17969648666386,158929200
2020-05-15,74.95922088623047,75.00550613978024,73.13219488038561,73.16630293423822,166348400
2020-05-18,76.72535705566406,77.10050853103726,75.59504066999202,76.28931213886284,135178400
2020-05-19,76.28202819824219,77.59260920685388,76.25035854354238,76.74243509617986,101729600
2020-05-20,77.76554107666016,77.83618073277223,77.10537029765943,77.14434774630136,111504800
2020-05-21,77.18577575683594,78.1699360459229,76.94704163415062,77.62669752734837,102688800
2020-05-22,77.6827392578125,77.76556357231506,76.82038061334768,76.92268994071365,81803200
2020-05-26,77.15652465820312,78.9859815424121,77.10049318747821,78.80571736540033,125522000
2020-05-27,77.49272155761719,77.63888517414505,76.26983441552119,77.01282970195847,112945200
2020-05-28,77.52680969238281,78.79111238390804,76.88856974628645,77.16627385552594,133560800
2020-05-29,77.4512939453125,78.23325906401446,77.09319651884718,77.77041392140606,153532400
2020-06-01,78.4037857055664,78.52558745206125,77.27346192968375,77.40500989747099,80791200
2020-06-02,78.7667465209961,78.79110835527389,77.6924543067813,78.13581441439783,87642800
2020-06-03,79.20036315917969,79.46345908381795,78.51339955329883,79.08830763863511,104491200
2020-06-04,78.51828002929688,79.32216858642559,78.14312856668211,79.02254104646114,87560400
2020-06-05,80.75457000732422,80.81547088968269,78.73997149521452,78.76920272927622,137250400
2020-06-08,81.23202514648438,81.26613320662413,79.73630344643696,80.45005995341553,95654400
2020-06-09,83.79718017578125,84.19181672502023,80.87881449555262,80.91048414553676,147712400
2020-06-10,85.95306396484375,86.42321696800342,84.3087402266497,84.74966199726732,166651600
